from,to,val
davorg,merlyn,1
davorg,gnat,1
davorg,AndyArmstrong,1
davorg,schwern,1
davorg,pjf,1
davorg,pdcawley,1
davorg,aaroncrane,1
davorg,perlbuzz,1
davorg,keiosu,1
davorg,OvidPerl,1
davorg,timbunce,1
davorg,allisonrandal,1
davorg,missbarbell,1
davorg,chromatic_x,1
davorg,szabgab,1
davorg,shadowcat_mdk,1
davorg,perlfoundation,1
davorg,briandfoy_perl,1
davorg,shadowcat_mst,1
davorg,mjdominus,1
davorg,neilbowers,1
davorg,culturedperl,1
davorg,PerlWeekly,1
davorg,yapceu,1
davorg,stevanlittle,1
davorg,PerlRick,1
davorg,PerlSawyer,1
davorg,BuiltinPerl,1
petdance,perigrin,1
petdance,gnat,1
petdance,AndyArmstrong,1
petdance,pkrumins,1
petdance,schwern,1
petdance,pjf,1
petdance,brianwisti,1
petdance,perlbuzz,1
petdance,thaljef,1
petdance,keiosu,1
petdance,timbunce,1
petdance,allisonrandal,1
petdance,kraih,1
petdance,chromatic_x,1
petdance,sinan_unur,1
petdance,perlbpbook,1
petdance,perlcritic,1
petdance,szabgab,1
petdance,preaction,1
petdance,CSJewellPerl,1
petdance,olafalders,1
petdance,jbones3000,1
petdance,gizmomathboy,1
petdance,perlfoundation,1
petdance,vmbrasseur,1
petdance,TimToady,1
petdance,BostonPM,1
petdance,PlanetPerl,1
petdance,carpecrustum,1
petdance,sfperlmongers,1
petdance,PurduePM,1
petdance,SVPerl,1
petdance,mjdominus,1
petdance,rescuedbycode,1
petdance,metacpan,1
petdance,oss_pl,1
petdance,Ptolemarch,1
petdance,YAPCNA,1
petdance,PerlWeekly,1
petdance,joelaberger,1
petdance,PerlSawyer,1
petdance,PerlTricks,1
petdance,ThePerlShop,1
petdance,PerlDaily,1
petdance,BuiltinPerl,1
petdance,cpantesters,1
merlyn,davorg,1
merlyn,petdance,1
merlyn,theory,1
merlyn,miyagawa,1
merlyn,ingydotnet,1
merlyn,perigrin,1
merlyn,gnat,1
merlyn,AndyArmstrong,1
merlyn,john_bokma,1
merlyn,perl_api,1
merlyn,spazm,1
merlyn,sartak,1
merlyn,schwern,1
merlyn,pjf,1
merlyn,pdcawley,1
merlyn,brianwisti,1
merlyn,perlbuzz,1
merlyn,keiosu,1
merlyn,OvidPerl,1
merlyn,timbunce,1
merlyn,allisonrandal,1
merlyn,rsrchboy,1
merlyn,kraih,1
merlyn,chromatic_x,1
merlyn,PerlStalker,1
merlyn,xdg,1
merlyn,szabgab,1
merlyn,CSJewellPerl,1
merlyn,gizmomathboy,1
merlyn,shadowcat_mdk,1
merlyn,perlfoundation,1
merlyn,TimToady,1
merlyn,brian_d_foy,1
merlyn,briandfoy_perl,1
merlyn,shadowcat_mst,1
merlyn,houseabsolute,1
merlyn,metacpan,1
merlyn,Ptolemarch,1
merlyn,YAPCNA,1
merlyn,PerlWeekly,1
merlyn,markjgardner,1
merlyn,PerlSawyer,1
merlyn,PerlTricks,1
friedo,petdance,1
friedo,miyagawa,1
friedo,genehack,1
friedo,ingydotnet,1
friedo,perigrin,1
friedo,gnat,1
friedo,john_bokma,1
friedo,schwern,1
friedo,twiki,1
friedo,sungo,1
friedo,perlbuzz,1
friedo,thaljef,1
